Business Center,Venue,Venue Latitude,Venue Longitude,Venue Category,Venue Id,Venue Likes
Saint-Étienne Châteaucreux,Au Mandarin,45.43906304966054,4.396979110396463,Chinese Restaurant,50a7e8ace4b0e7faf5407dce,0
Saint-Étienne Châteaucreux,Oyisi,45.439358,4.402698,Sushi Restaurant,4c5162a45ee81b8dde8e2300,0
Saint-Étienne Châteaucreux,Paul,45.443237,4.399506,Bakery,4ff68f54e4b048eef77f7425,1
Saint-Étienne Châteaucreux,Oblé doré,45.43983206,4.3983227,Bakery,4c286be79eb195211b822959,0
Saint-Étienne Châteaucreux,Clic & Croc,45.43977693763887,4.397157978615606,Bakery,4f462e19e4b05a78afdf20f1,0
Saint-Étienne Châteaucreux,Brioche Dorée,45.43878138928924,4.392154925710368,Bakery,4c8b83df1797236a1f7f6b88,0
Saint-Étienne Châteaucreux,La Tartine,45.439665,4.397784,Bistro,57680398cd101651d2774b37,0
Saint-Étienne Châteaucreux,McDonald's,45.44273376464844,4.3998332023620605,Burger Joint,566ec90d498eadbfb950285b,0
Saint-Étienne Châteaucreux,LE Corail,45.442653,4.39737,Falafel Restaurant,5768669e498e2b2c6879afb5,0
Saint-Étienne Châteaucreux,McDonald's Originals,45.44316628174991,4.400219709460608,Fast Food Restaurant,5671da13498e0b66bfd121d1,0
Saint-Étienne Châteaucreux,Taverne Maitre Kanter,45.442840740604964,4.399061554194045,French Restaurant,4b583cd9f964a520134f28e3,9
Saint-Étienne Châteaucreux,La Loco,45.44242,4.398746,French Restaurant,56fd6fda498e79de0597dcb8,0
Saint-Étienne Châteaucreux,Les Poteaux Carrés,45.442543029785156,4.398719310760498,French Restaurant,55b759ff498ed691906fc48f,0
Saint-Étienne Châteaucreux,TVB,45.44053512623375,4.401408143454024,French Restaurant,4c2c778fd1a10f479174f964,0
Saint-Étienne Châteaucreux,L'imprevu,45.43903207988452,4.397451930896238,French Restaurant,4c2dc188e116e21e590f8f60,0
Saint-Étienne Châteaucreux,L'Avenir,45.439639,4.401321,French Restaurant,4c5a9a44d3aee21eba016b55,0
Saint-Étienne Châteaucreux,L'Estaminet,45.439845484312066,4.395913056301542,French Restaurant,5075508ae4b01d78865465b6,0
Saint-Étienne Châteaucreux,Le Richelieu,45.439693,4.403112,French Restaurant,4ea7ded2dab48494d897f571,0
Saint-Étienne Châteaucreux,Brasserie le Gavroche,45.44253077957744,4.39806209840677,French Restaurant,4fa26412e4b060d2c55b7f3d,0
Saint-Étienne Châteaucreux,Club Pelican,45.44090180156753,4.400505615444544,Gastropub,4de521ff1f6e3190cd4f3bec,0
Saint-Étienne Châteaucreux,Restaurant La Loco,45.442142,4.398708,Gastropub,56fd70e6498e389de09a0930,0
Saint-Étienne Châteaucreux,Capriccio,45.442811258405165,4.397714869357478,Italian Restaurant,4ec6449a02d5888e9a602552,1
Saint-Étienne Châteaucreux,O'tacos,45.43893,4.3981967,Taco Place,5c153aad968f310036214579,0
Saint-Étienne Châteaucreux,La Grotte,45.441800513679816,4.403800698122108,Pizza Place,4b978625f964a520370735e3,3
Saint-Étienne Châteaucreux,Pizza yellow,45.44036896454738,4.398065402050162,Pizza Place,4c160a3382a3c9b60d9ffff8,0
Saint-Étienne Châteaucreux,don'cesar,45.445999,4.393703,Pizza Place,553e1736498e4eca65cbbbaa,0
Saint-Étienne Châteaucreux,Domino's Pizza,45.439107,4.397843,Pizza Place,56bc5517498e99415cb0d19a,0
Saint-Étienne Châteaucreux,Kyriad Saint Etienne Centre,45.4417,4.4058305556,Hotel,4bc8dd94762beee17a9e3d38,2
Saint-Étienne Châteaucreux,Impala Lounge,45.439228,4.397414,Restaurant,4c10d5085a43d13a83d0174b,0
Saint-Étienne Châteaucreux,Le baroque,45.439997,4.398279,Restaurant,4dbe8931cda109aa6ccb80ad,0
Saint-Étienne Châteaucreux,L'entresol,45.439595,4.397991,Restaurant,51e67afb498edaa34128883c,0
Saint-Étienne Châteaucreux,La Piadina,45.439803,4.397992,Restaurant,4f632882e4b045ea9195cb4f,0
Saint-Étienne Châteaucreux,Trader's,45.439446,4.397519,Restaurant,4be946e3aecb76b043c55a80,1
Saint-Étienne Châteaucreux,L'articho,45.439918,4.398245,Restaurant,4e96cb1230f8fb103d3e11df,0
Saint-Étienne Châteaucreux,Brioche Dorée,45.43878138928924,4.392154925710368,Bakery,4c8b83df1797236a1f7f6b88,0
Saint-Étienne Châteaucreux,Le mal assis,45.43868887829837,4.394688889698466,Snack Place,4daeb7634b229076786c1cb8,0
Saint-Étienne Châteaucreux,Ganakao,45.4387295,4.39453257,Snack Place,4d7769409ee9a35dece3b1f8,0
Saint-Étienne Châteaucreux,Brioche Dorée,45.43878138928924,4.392154925710368,Bakery,4c8b83df1797236a1f7f6b88,0
Saint-Étienne Châteaucreux,Le Richelieu,45.439693,4.403112,French Restaurant,4ea7ded2dab48494d897f571,0
