Business Center,Venue,Venue Latitude,Venue Longitude,Venue Category,Venue Id,Venue Likes
EuroRennes,Félix,48.10615158081055,-1.6779040098190308,New American Restaurant,515f3055e4b024b5c01dd1f2,3
EuroRennes,Eat SUSHI,48.105070375421526,-1.6727565466857102,Sushi Restaurant,4c28eda13492a593af23b828,7
EuroRennes,Kim San,48.10395263843066,-1.6775209159657436,Asian Restaurant,4c795d0c566db60c2faa440e,1
EuroRennes,Mandoo,48.10594,-1.6783172,Japanese Restaurant,5de8ea50bd5e3b00089fd7c1,0
EuroRennes,Soleil D'Asie,48.105375,-1.678293,Chinese Restaurant,5a06f270aa6c9568b3044516,0
EuroRennes,China Express,48.105181583271126,-1.6788724238201873,Asian Restaurant,4d25b2b8c2b36ea87fb827d4,0
EuroRennes,Lucky Bamboo,48.10764899945921,-1.6802469874727295,Food Court,4ec3a5a946903b51c40eeaea,1
EuroRennes,Bagel Corner,48.103035,-1.67237,Bagel Shop,5a71fd29dd70c52d91024fbc,0
EuroRennes,Ty Vorn,48.103333,-1.6728666,Bakery,5b6d96ba2a7ab6002c9f35f4,1
EuroRennes,Carrefour City,48.09857,-1.67509,Supermarket,5845df015cab2f6b81c0a2de,0
EuroRennes,Valentin,48.103159146246504,-1.6725896571946195,Sandwich Place,4fe1516ae4b03c304e7238bf,4
EuroRennes,La Boite à Pain,48.103296,-1.672263,Bakery,50871853e4b083585281228a,1
EuroRennes,L EPICERIE de JOSEPH,48.104519,-1.672771,Bakery,55fbe127498ed7002b4c8bb9,1
EuroRennes,Augustin,48.104973867372074,-1.6777753829956055,Bakery,5044c1b6e4b01446ac3c1013,2
EuroRennes,Boulangerie Janvier,48.106841998112344,-1.6803021417997261,Bakery,4efc10922c5b0c24c9e7fa79,0
EuroRennes,Le Fournil Des Halles,48.107644760574715,-1.6798906329304537,Bakery,523d51a311d2026504578a0b,0
EuroRennes,Bistrot l'Arrivée,48.103927858308346,-1.6741329431533813,Wine Bar,59134e9bdd12f844c082488f,2
EuroRennes,Café de Rennes,48.10443869394498,-1.6729429130780065,Café,56239535498e8dfc39353e8e,2
EuroRennes,Bar de l'Aviation,48.10062670039177,-1.6837996244430542,Bistro,530fee30498ef2a6cb2893a9,0
EuroRennes,Café Cortina,48.103533808278165,-1.6826677322387695,Breakfast Spot,4c47141489a6c9b608fd9888,4
EuroRennes,Augustin,48.104973867372074,-1.6777753829956055,Bakery,5044c1b6e4b01446ac3c1013,2
EuroRennes,Big Fernand Rennes,48.10515542462366,-1.6786304523241082,Burger Joint,55bf5a62498e8c0db4fe8935,10
EuroRennes,Le Champs des Saveurs,48.10530881481727,-1.6744601656739733,Burger Joint,52bdd655498efd3ee12e0437,0
EuroRennes,HFC,48.10480287018979,-1.6737767155952035,Turkish Restaurant,50a9ea79e4b0b9c7328ec3af,0
EuroRennes,Café Richard,48.10327,-1.6725256,Café,5c5bcf42a6031c002c9947e1,0
EuroRennes,Fanc café,48.09951198378452,-1.6843075733973765,Café,4edca0b2e300851bfc20bc24,0
EuroRennes,Le Parisien,48.103355,-1.671928,Café,4c5d02377f661b8d755f4a1c,1
EuroRennes,La Dalle,48.104642,-1.679254,Café,4bfea5fcdaf9c9b6e203f9ef,0
EuroRennes,Café de Rennes,48.10443869394498,-1.6729429130780065,Café,56239535498e8dfc39353e8e,2
EuroRennes,Le Petit Caboulot,48.10422984108391,-1.6721877531188798,Café,4c44408636d6a593bf286aa8,0
EuroRennes,Le Havane,48.105037697053945,-1.6784314417518964,Café,4de61f40ae607cf3446c885b,0
EuroRennes,kafe rotibakar,48.104278564453125,-1.6710909605026245,Café,5359d94c498e235672d187d1,0
EuroRennes,Café N5,48.105432925841825,-1.6772087481324,Café,4e02edc4d22d034599ed7dfc,0
EuroRennes,Alto café Rennes-Esplanade,48.1054348,-1.6768662,Café,532c561f498e111892a279cd,0
EuroRennes,Segafredo Bar,48.10307616361467,-1.672781338959556,Coffee Shop,4de31f457d8b2547eb1540ca,3
EuroRennes,Coffea,48.104958,-1.6810393,Coffee Shop,5c06d0072d2fd9002cf14d0e,0
EuroRennes,Le Tonic,48.0996288129,-1.6809550328581886,Coffee Shop,522d697c11d2a6f809f54a19,0
EuroRennes,Starveboks,48.105071,-1.672395,Coffee Shop,50aab6c7e4b0a69fa5be429e,0
EuroRennes,L'épi de Blé,48.10465641,-1.67225873,Creperie,4c08cd96340720a1aba88393,16
EuroRennes,Crêperie L'Epi de Blé,48.107646,-1.67963,Creperie,56352951498eb65f52284dcd,4
EuroRennes,Crêperie Ker Soazig,48.104981,-1.67619,Creperie,58906a5a32b072494c2db2a4,0
EuroRennes,Crêperie Ker Soazig,48.10552165060744,-1.6753163152601713,Creperie,4e4ffeaaaeb70f1284a88c29,12
EuroRennes,Crêperie La Colombière,48.10663584214269,-1.6815586728032563,Creperie,4ec52cf430f8194515369e13,0
EuroRennes,La Trinitaine,48.10728987257127,-1.68026799321501,Deli / Bodega,4efb1dfc0e013b212950d933,3
EuroRennes,Philippe Bouvier,48.10416056860913,-1.6730636831403836,Cupcake Shop,4eeb430df9abe756b8e4b5a7,0
EuroRennes,Brioche Dorée,48.104780254228054,-1.6791883172978432,Cupcake Shop,4dc5284dae608779d132f268,2
EuroRennes,Décors Et Àmes,48.104801063404025,-1.6726629290687807,Ice Cream Shop,515348fee4b00546843b6f67,0
EuroRennes,L'Atelier St Michel,48.106330945928455,-1.677526621654879,Cupcake Shop,52a6e28711d27e3194dba0a0,0
EuroRennes,Boon,48.10489,-1.68141,Frozen Yogurt Shop,5b0976a90a08ab002c2145aa,0
