Business Center,Venue,Venue Latitude,Venue Longitude,Venue Category,Venue Id,Venue Likes
Innopole FR,Yankee Grill,43.54910799199228,1.5116500854492188,American Restaurant,4be3e9ab1dd22d7fa7b297bd,2
Innopole FR,L'Arome Et Le Grain,43.54293327615422,1.5138679387604468,American Restaurant,4dda867f45ddced820cfe9b0,0
Innopole FR,Asiatides,43.548694252967834,1.51232237,Asian Restaurant,4c739fd813228cfad6142e65,0
Innopole FR,Kobe Sushi,43.549763124013225,1.5115749835968018,Japanese Restaurant,4c04df3d187ec9280c8fb77b,5
Innopole FR,Saïgon,43.55040219711513,1.507576465662213,Chinese Restaurant,4c84c9da2f1c236a5fcb4e43,0
Innopole FR,O'Sushi,43.55045576263146,1.5067493309838353,Sushi Restaurant,4b1d01bcf964a5201e0b24e3,2
Innopole FR,Wok 31 Labège,43.550471,1.506848931312561,Chinese Restaurant,4c628210de1b2d7fd258e270,3
Innopole FR,Brioche Dorée,43.55113594005201,1.5067243087817128,Bakery,4b5d8a9cf964a520bf6029e3,0
Innopole FR,Le Lafayette,43.54886406881475,1.5088783562343333,Brewery,4b504c9df964a520022027e3,0
Innopole FR,Flunch,43.55017641613889,1.5075065292241652,Cafeteria,4bb5f85d46d4a593c080c5c0,5
Innopole FR,Malongo Café,43.548796947590226,1.5073585510253906,Café,4e7ca893091af2d1e0279255,0
Innopole FR,Columbus Café,43.551186,1.50681,Coffee Shop,5a439e0bd1a402449eb9795f,1
Innopole FR,Backpack Café,43.55042187127057,1.5069847674056334,Diner,5373f2d5498e1ecf3dc919cb,12
Innopole FR,LA CROISSANTERIE,43.55049105,1.50864918,Sandwich Place,4d2d9126f728b60c8f8e9bfd,2
Innopole FR,Pause Casse Croute A Carrefour Labege,43.54911809,1.51027224,Fast Food Restaurant,4e01c12eb61c90045005d85e,0
Innopole FR,Ghys&Lo,43.54914947543029,1.5118494616204645,French Restaurant,4bdea5e76198c9b6e26314ff,2
Innopole FR,L'orangerie,43.54274192249321,1.5140475736549341,French Restaurant,4dbf07c2fa8cc78a86088fcd,0
Innopole FR,Terre Et Mer,43.541822,1.511107,Southwestern French Restaurant,5c9224bac58ed7002c25e42a,0
Innopole FR,La Compagnie Des Pergos,43.542861,1.5143108367919922,French Restaurant,4cac524e14c3370455e1ee3b,1
Innopole FR,Pizza Nostra,43.54232102109987,1.5125604873745688,Italian Restaurant,4b9e2518f964a52071cd36e3,4
Innopole FR,Viagio pasta restaurant,43.55102865561634,1.5067952871322632,Italian Restaurant,4bb5fd4846d4a593cc86c5c0,0
Innopole FR,Capodimonte,43.550858,1.5066397,Pizza Place,59f1c50d8c35dc5ae3ae34f3,2
Innopole FR,Le pic'assiette,43.550319710666614,1.51097497530523,Restaurant,4f70519ae4b02a6d6a7b8199,0
Innopole FR,Autour Du Comptoir,43.54959,1.509295,Sandwich Place,5d7f65108bcd650008e34757,0
Innopole FR,Fraish,43.55020123991286,1.5072976013274888,Salad Place,4d6e2b6f8df15481ff887a23,2
Innopole FR,Autour Du Comptoir,43.54959,1.509295,Sandwich Place,5d7f65108bcd650008e34757,0
Innopole FR,LA CROISSANTERIE,43.55049105,1.50864918,Sandwich Place,4d2d9126f728b60c8f8e9bfd,2
Innopole FR,Brioche Dorée,43.55113594005201,1.5067243087817128,Bakery,4b5d8a9cf964a520bf6029e3,0
Innopole FR,Brioche Dorée,43.549936553694586,1.507992402282971,Sandwich Place,50dc377ae4b0add0deefc8b3,1
Innopole FR,Faims De Journée,43.550034,1.508209,Sandwich Place,50570e1be4b0e932ca049b43,0
Innopole FR,Square Maker,43.550888,1.5077226,Snack Place,59538cb441868651ce49b33d,0
Innopole FR,El Paseo,43.54975397722748,1.5113310087309657,Spanish Restaurant,4e8ede0c77c843122cc987d4,0
Innopole FR,Les 3 Gats,43.55078760402636,1.5066719055175781,Spanish Restaurant,4bbf162a85fbb71337957167,0
Innopole FR,La Faim Des Haricots,43.54955491890693,1.5115138458415802,Vegetarian / Vegan Restaurant,4c0788a98b4520a108018797,3
