Business Center,Venue,Venue Latitude,Venue Longitude,Venue Category,Venue Id,Venue Likes
Les Bruyères Courbevoie,Le Restaurant du Bonheur,48.90608487513842,2.2692319750785828,Chinese Restaurant,4ce6c33e867f60fce43a36c3,13
Les Bruyères Courbevoie,Hoki Sushi,48.907555198130225,2.2617888450622554,Sushi Restaurant,4c0e9bc45ab6c9b6260cf0fe,4
Les Bruyères Courbevoie,Sushi Kyo,48.90299990396536,2.2695558331542998,Sushi Restaurant,4c13cd4ab7b9c928a233aa37,27
Les Bruyères Courbevoie,Washi,48.90243033047711,2.268826772683872,Japanese Restaurant,4b9fd8c8f964a5202f4437e3,2
Les Bruyères Courbevoie,Ameyoko,48.902944240828276,2.267311121185749,Japanese Restaurant,4bb47f0f0cbcef3be901592a,3
Les Bruyères Courbevoie,Délice Mandarin,48.90271354129817,2.2657330334186554,Chinese Restaurant,4d7bbb9acf3f37041ee94140,0
Les Bruyères Courbevoie,Aykoo,48.905985900044904,2.2679632902145386,Japanese Restaurant,5a4f78ed17556220dec4ef90,0
Les Bruyères Courbevoie,Shinobi,48.91239896269432,2.2722930415909715,Japanese Restaurant,4ed22e7b93ad987b4f29fcc1,6
Les Bruyères Courbevoie,Yutaka,48.90801398615125,2.2676681394017115,Japanese Restaurant,4cc1e397306e224b1fbb8c6c,6
Les Bruyères Courbevoie,Le Jardin de Shanghai,48.9039286757752,2.268346846103668,Asian Restaurant,5087bb22e4b01190699a1bab,0
Les Bruyères Courbevoie,Foulo traiteur,48.90478019153144,2.2687309029015377,Asian Restaurant,509900cbe4b0cfbb6a14c349,1
Les Bruyères Courbevoie,Sakula,48.90134607756415,2.2637810371452356,Japanese Restaurant,4b9154a4f964a520b1b333e3,0
Les Bruyères Courbevoie,Urban Bagel,48.907264,2.261296,Bagel Shop,534e5f16498e0538009b7133,3
Les Bruyères Courbevoie,Boulangerie Fabrice Capezzone,48.90443770110308,2.2686090133720427,Bakery,4ed4bff7e3007ce6d7694a32,10
Les Bruyères Courbevoie,Boulangerie La Bécondine,48.90471111869592,2.2685010731220245,Bakery,4d7914ba10936dcb07c35189,1
Les Bruyères Courbevoie,Maison Da Silva,48.904067,2.269297,Bakery,5da2f55eff77c300076cfbce,0
Les Bruyères Courbevoie,Carrefour City,48.911389,2.27204,Supermarket,550af67f498e712c790d589b,0
Les Bruyères Courbevoie,Le Fournil des Bruyères,48.907837,2.26123,Bakery,57f235b8498ed4d90e66ab01,1
Les Bruyères Courbevoie,Boulangerie Lebehot Jérôme,48.902738,2.268644,Bakery,4c076b128b4520a14de38697,0
Les Bruyères Courbevoie,Boulangerie Neves,48.9100242628774,2.272101522134586,Bakery,4eb52048469073bbc5ff9942,0
Les Bruyères Courbevoie,banette artisan boulanger,48.91309414471445,2.2698165227337257,Bakery,53dddf0a498e414188911e50,0
Les Bruyères Courbevoie,Paul,48.9100228245678,2.2731141164204853,Bakery,4c97115ff244b1f79aa2391d,0
Les Bruyères Courbevoie,Le Café Clem,48.90259188572634,2.274377793073654,Bistro,4c497b6d6f1420a1c52ea955,0
Les Bruyères Courbevoie,James Bar,48.901283,2.267096,Bistro,572466a3498e33891f16e7b4,0
Les Bruyères Courbevoie,Ghozlane's Place,48.907139139898014,2.2757953405380245,Breakfast Spot,4c42e923ce54e21e13540d1a,0
Les Bruyères Courbevoie,burger house #1,48.906881,2.261322,Burger Joint,5655a03e498e3d6ef23a49a2,0
Les Bruyères Courbevoie,Cafétéria IBM,48.90586956394914,2.2628010759894805,Cafeteria,4bcea98668f976b0fd6d6683,0
Les Bruyères Courbevoie,Les Sablières,48.906107,2.268227,Café,4c9b971ceaa5a1432769d6e4,0
Les Bruyères Courbevoie,5 Sens,48.906923221736186,2.2620609444658997,Café,4bb2fa1d2397b71327a637b3,4
Les Bruyères Courbevoie,Le Balto,48.906218477541934,2.268480956554413,Café,4b7d0c70f964a52017ad2fe3,0
Les Bruyères Courbevoie,Le Café Clem,48.90259188572634,2.274377793073654,Bistro,4c497b6d6f1420a1c52ea955,0
Les Bruyères Courbevoie,Café Les Sports,48.90638370327805,2.259637713432312,French Restaurant,51e5248b498e1772fc320626,4
Les Bruyères Courbevoie,Café du Marché,48.90236127377419,2.2679659724235535,Café,4f3d04cae4b0075887588b2e,0
Les Bruyères Courbevoie,Planetalis,48.90803550343186,2.260818471068136,Coffee Shop,4ba8aaacf964a520aee539e3,1
Les Bruyères Courbevoie,L'autre Cafe,48.907754,2.261357,Coffee Shop,4c978ee56b35a143211b37dc,0
Les Bruyères Courbevoie,L’as De La Crêpe,48.906474,2.268543,Creperie,5b18249ba92d98002c7cfb60,0
Les Bruyères Courbevoie,Pancake Square,48.912812815293044,2.272151547787878,Creperie,4bf6ca9813aed13a2035eaf7,8
Les Bruyères Courbevoie,Sweet Delights By Sarah,48.906962,2.263827,Cupcake Shop,50da3331e4b0fb6f149330b7,0
Les Bruyères Courbevoie,Restaurant Nissa,48.90756098065385,2.2611648287894264,Diner,4f2929d3e4b07412d2934ba3,0
Les Bruyères Courbevoie,Eden's Fresh,48.912137189129986,2.2722631486302967,Donut Shop,4ed48910775b45f6ed7aae78,0
Les Bruyères Courbevoie,Urban Fooding,48.905762,2.269619,Fast Food Restaurant,4b83dc78f964a520091431e3,1
Les Bruyères Courbevoie,Subway,48.9071828616149,2.265385985218245,Sandwich Place,53caa90a498e6db96d69d581,1
Les Bruyères Courbevoie,Franprix,48.90876,2.2739,Supermarket,4dd2aae1d22d67839c613254,0
Les Bruyères Courbevoie,Franprix,48.90172,2.26668,Supermarket,50ee8df6e4b006e0596d6ac9,1
Les Bruyères Courbevoie,Franprix,48.91285,2.27243,Supermarket,5d39af03ab5c4900071e7c75,0
Les Bruyères Courbevoie,Le Saint-Charles,48.90225724872981,2.268228828907013,French Restaurant,506583cae4b057ca1208d23d,0
Les Bruyères Courbevoie,Boucherie Roussel,48.901741,2.267116,Food Court,500144dbe4b0eb34b4bf0808,0
Les Bruyères Courbevoie,Zénith Pizza,48.905029,2.26869012,Food Truck,4c37635818e72d7fbe6f16f5,0
Les Bruyères Courbevoie,La Table Bretonne,48.90539751923895,2.2691404062199925,French Restaurant,4be06f0ccb81c9b6d9d8658b,10
Les Bruyères Courbevoie,Thomas Traiteur,48.90373630657796,2.2680162528480676,Sandwich Place,4f4f844ee4b0db32982a9e32,4
Les Bruyères Courbevoie,Le Rallye,48.90615892121566,2.2689422965049744,French Restaurant,4c2b14dd77cfe21e06e6b3f1,2
Les Bruyères Courbevoie,Le Celtique,48.900798108175664,2.264359705077368,French Restaurant,4c078f638b4520a1d2098797,4
Les Bruyères Courbevoie,Brasserie Le Parc,48.901716998523554,2.2638487703945196,Brasserie,4f267fe5e4b012e0311f7657,0
Les Bruyères Courbevoie,Le Saint-Charles,48.90225724872981,2.268228828907013,French Restaurant,506583cae4b057ca1208d23d,0
Les Bruyères Courbevoie,Le Bistrot Pierre Lambert,48.900924,2.270223,French Restaurant,5824df53d02c0642977a5ad6,6
Les Bruyères Courbevoie,Le Valerianne,48.90233205963624,2.267723195182043,French Restaurant,4de61eefe4cde71744b75b27,0
Les Bruyères Courbevoie,5 Sens,48.906923221736186,2.2620609444658997,Café,4bb2fa1d2397b71327a637b3,4
Les Bruyères Courbevoie,Café Les Sports,48.90638370327805,2.259637713432312,French Restaurant,51e5248b498e1772fc320626,4
Les Bruyères Courbevoie,Le Celtique,48.900798108175664,2.264359705077368,French Restaurant,4c078f638b4520a1d2098797,4
Les Bruyères Courbevoie,Coussin du Bengale,48.90218319687136,2.268271744251251,Indian Restaurant,4c9a5427b8e9224bf2ed4c3d,4
Les Bruyères Courbevoie,Rizzo,48.90747939116804,2.2609466314315796,Italian Restaurant,5cdbe81bb6b04b002bceeeca,0
Les Bruyères Courbevoie,Pizzeria Don Luigi,48.90315566650563,2.2683351431224295,Pizza Place,4c13d4117f7f2d7fc6cadf68,2
Les Bruyères Courbevoie,Les 3 Atlas,48.903277,2.270379,Moroccan Restaurant,540c1ee9498ef527c977dec2,1
Les Bruyères Courbevoie,oriental corner couscous à domicile,48.9112069,2.272392800000034,Mediterranean Restaurant,55bbcf1c498efda28fdfded6,0
Les Bruyères Courbevoie,Oriental,48.91003961124333,2.272090881093864,Moroccan Restaurant,4fe5ae4de4b0b901afc37ca1,0
Les Bruyères Courbevoie,Ô Bon Libanais,48.90430538562331,2.273210361599922,Lebanese Restaurant,5a68805a67e5f251ed2b8969,1
Les Bruyères Courbevoie,oriental corner couscous à domicile,48.9112069,2.272392800000034,Mediterranean Restaurant,55bbcf1c498efda28fdfded6,0
Les Bruyères Courbevoie,L'Étoile du Liban,48.912828692150605,2.2726202756166454,Middle Eastern Restaurant,4f244ed5e4b0b2f98f5238db,1
Les Bruyères Courbevoie,Rapido pizza,48.90668454044832,2.2692290208500965,Pizza Place,4b9d2ca4f964a5206e9636e3,0
Les Bruyères Courbevoie,Zénith Pizza,48.905029,2.26869012,Food Truck,4c37635818e72d7fbe6f16f5,0
Les Bruyères Courbevoie,Pizzeria Don Luigi,48.90315566650563,2.2683351431224295,Pizza Place,4c13d4117f7f2d7fc6cadf68,2
Les Bruyères Courbevoie,Marcellino Pizzeria,48.90702,2.2614853,Pizza Place,5bbc904838f2160025702057,0
Les Bruyères Courbevoie,Philomina,48.90432597948656,2.267805441086412,Pizza Place,533d3de4498e8a225640a01e,0
Les Bruyères Courbevoie,Tie Break,48.907337,2.271061,Restaurant,51b064a8498e2c25cf365418,2
