Business Center,Venue,Venue Latitude,Venue Longitude,Venue Category,Venue Id,Venue Likes
Nanterre Champs Pierreux,Le Tombouctou,48.88364,2.2200835,African Restaurant,5cb06df7e1f0aa002c9625d4,0
Nanterre Champs Pierreux,Villa Sun,48.88587883131052,2.2133911976022156,Japanese Restaurant,51dfe08f498eba3c12a5dd2b,5
Nanterre Champs Pierreux,Ocean's Sushi,48.886088626284526,2.2148831526216033,Japanese Restaurant,4e450d50e4cd394059f1045e,7
Nanterre Champs Pierreux,Villa Tokyo,48.885826,2.2130857,Japanese Restaurant,5bf6feaaf193c000332b99be,0
Nanterre Champs Pierreux,Bishoku,48.88917680893511,2.2121332700583802,Asian Restaurant,4c7f8209fb74236a8d2efab9,3
Nanterre Champs Pierreux,Sushi Nanterre,48.886397284116036,2.2108772608004847,Sushi Restaurant,51c18854498efff560dadcf5,4
Nanterre Champs Pierreux,Diabl'o Wok,48.88716763238744,2.2077473855521146,Asian Restaurant,50bfa40ae4b0e1f6a90b3b60,6
Nanterre Champs Pierreux,Artisan Boulanger,48.881578235225305,2.215646599708658,Bakery,4d3012935f806dcb076315ac,1
Nanterre Champs Pierreux,Delimarché,48.88729858166776,2.213923048614803,Café,51dfdeda498e986cd790a57e,0
Nanterre Champs Pierreux,Underground,48.88591156185984,2.2186385182090387,Burger Joint,4ff9da57e4b033b23ca43a11,2
Nanterre Champs Pierreux,RIE Le Capitole,48.88753392629776,2.2142062414146815,Corporate Cafeteria,4c76536f66be6dcb4dbac20f,1
Nanterre Champs Pierreux,Garmin Cafet,48.887382,2.214235,Cafeteria,4c74cfee66be6dcb2ababe0f,0
Nanterre Champs Pierreux,Au Trou Normand,48.885730209647726,2.2193653093954864,Bar,51c974ba498efbb0ed3add96,0
Nanterre Champs Pierreux,Machine À Café Du 5ième,48.88616441768434,2.2134900095479955,Café,4df216a31f6e818dadfad97f,0
Nanterre Champs Pierreux,Delimarché,48.88729858166776,2.213923048614803,Café,51dfdeda498e986cd790a57e,0
Nanterre Champs Pierreux,La Cascade,48.887366,2.214056,Café,4c6a74932c29d13a64ba0d41,0
Nanterre Champs Pierreux,Cafeteria Du RDC Batiment C,48.8872840675604,2.2126415660055017,Café,4e675cc81838501628482e6d,0
Nanterre Champs Pierreux,bagel chef,48.889022,2.212388,Fast Food Restaurant,557abef7498e4272399b5070,1
Nanterre Champs Pierreux,pickles,48.885149,2.220541,Fast Food Restaurant,55952095498edcb86d96bb1f,0
Nanterre Champs Pierreux,The Fifties are Back,48.88559846828416,2.220078277755912,Fast Food Restaurant,52b1a76b498ea18b3cec5182,1
Nanterre Champs Pierreux,Daily Wagon,48.887193,2.214495,Fish & Chips Shop,521dd59511d2eef775e844a2,0
Nanterre Champs Pierreux,Camion Sandwich,48.88613919392999,2.214197631153217,Food Truck,4e830c45be7b92ebc8ae4b48,0
Nanterre Champs Pierreux,yellow bus,48.892395462195445,2.2132118664104223,Food Truck,524d5150498ea4a1ee7cbacf,0
Nanterre Champs Pierreux,Julius Caffé,48.88877277703569,2.2127290328991056,Pizza Place,4bd03c9fb221c9b69a42d3d0,5
Nanterre Champs Pierreux,Alfama,48.88448353082493,2.2142914883721407,French Restaurant,4bc307b3abf495215927c393,0
Nanterre Champs Pierreux,L'ardoise,48.88802,2.20751,French Restaurant,4e6fb8471f6e63a4eae25c75,0
Nanterre Champs Pierreux,L'Acacia,48.88673178577893,2.2086429967958354,French Restaurant,4d4be6b2855b54819bd6e18f,0
Nanterre Champs Pierreux,Restaurant La Fontaine,48.888547,2.212718,French Restaurant,55b52c0f498ed94ddc5efd7d,0
Nanterre Champs Pierreux,La Pyramide,48.885780334472656,2.203977108001709,Kebab Restaurant,5347c88d11d2a904ff220c19,0
Nanterre Champs Pierreux,Cœur De Pain,48.88652603134053,2.20537886608791,Arepa Restaurant,4cf4e781e3b9a0932d255153,1
Nanterre Champs Pierreux,le sable d'or,48.88605988581881,2.211402822394105,Moroccan Restaurant,54537475498e88d56f6f34f5,0
