Business Center,Venue,Venue Latitude,Venue Longitude,Venue Category,Venue Id,Venue Likes
Pleyel Saint Denis,Bar Restaurant Couscous,48.91934,2.3445222,African Restaurant,58d2746a4ca49b5f73a792b8,0
Pleyel Saint Denis,Au Couscous des Dunes,48.91811054865355,2.351358815226775,African Restaurant,4dad6bf7043718a63e30e23e,0
Pleyel Saint Denis,Gourmet Grill,48.919713,2.344244,Asian Restaurant,54baa8ae498e57d4d5e26faf,0
Pleyel Saint Denis,Sushi Day,48.919003,2.34433,Japanese Restaurant,50d04fa7e4b02153a04c57e4,0
Pleyel Saint Denis,Yummy,48.91837012741696,2.344271488567034,Japanese Restaurant,4e295062d4c0e361d9e6b2a1,1
Pleyel Saint Denis,Dream Sushi,48.919758,2.3430219,Sushi Restaurant,591c39974a7aae0e36b4173f,0
Pleyel Saint Denis,Le Panda Express,48.923729305495485,2.344033078902076,Chinese Restaurant,4f0c2588e4b04487f933155c,3
Pleyel Saint Denis,Odawara,48.918627557134045,2.3420574488474553,Japanese Restaurant,4c5eed276ebe2d7f02ddd62e,4
Pleyel Saint Denis,Pekin Express,48.917431,2.347453,Asian Restaurant,4dc04cba6e8124d25dc9edab,0
Pleyel Saint Denis,Soja,48.91703,2.340077,Sushi Restaurant,4fe993f9e4b0c126077141c6,1
Pleyel Saint Denis,Sakura Bara Sushi,48.92376440570275,2.3441982201303047,Sushi Restaurant,4cd88b8a7bb06dcbf01ba3b2,0
Pleyel Saint Denis,Boulangerie Cottereau,48.91957189875338,2.3444389714001113,Bakery,4d3d648d84d46ea86ee4055d,4
Pleyel Saint Denis,Le Moulin de Pleyel,48.919617,2.344339,Bakery,59ae930148b04e2920caf300,0
Pleyel Saint Denis,Luc Kas,48.920968,2.354526,Bakery,5c49a8b131fd14002c99d6dc,0
Pleyel Saint Denis,Au Grand Comptoir,48.92036,2.344541,Bistro,581737b838fa73296bae0d13,1
Pleyel Saint Denis,Le Pleyel Burger,48.919664,2.344296,Fast Food Restaurant,5960c62b9ec399064acbab94,0
Pleyel Saint Denis,Avenance Restauration,48.92012793695371,2.3444023046853166,Cafeteria,4cd0029c01eaf04d7012b65d,0
Pleyel Saint Denis,Restaurant Lagon,48.921753,2.352554,Cafeteria,5677e585498e9abd6eda0214,0
Pleyel Saint Denis,La Dame Aux Camelias,48.917556,2.340825,Café,4def24ff45dd29e268980612,0
Pleyel Saint Denis,Les Bons Vivants,48.919725550597185,2.3444621180045555,Diner,4cb59bdc1b0af04da228ca25,4
Pleyel Saint Denis,Yummy,48.91837012741696,2.344271488567034,Japanese Restaurant,4e295062d4c0e361d9e6b2a1,1
Pleyel Saint Denis,auberge de tighza,48.918911,2.343723,Diner,4c1b576db4e62d7f3b2ad993,0
Pleyel Saint Denis,Le Terminus Pleyel,48.919533,2.343337,Diner,51af1bf1498ee6c4fc91880d,0
Pleyel Saint Denis,Les Cheminots,48.9145589871374,2.348539007143386,Diner,50c1e12de4b052c5b58d1c72,0
Pleyel Saint Denis,Marie & Adam,48.919603596014646,2.3544789685860286,Diner,557b1cf1498e3218ab8c7fc5,3
Pleyel Saint Denis,Le Pleyel Burger,48.919664,2.344296,Fast Food Restaurant,5960c62b9ec399064acbab94,0
Pleyel Saint Denis,benji burger,48.918365,2.354312,Fast Food Restaurant,55b222d3498eb61d9fd733a1,2
Pleyel Saint Denis,Eat & Co,48.91796298740757,2.3548231635006545,Pizza Place,4bcd8a05cc8cd13a6da8c2cf,2
Pleyel Saint Denis,le buffalo,48.91424691303334,2.3443861305713654,Fast Food Restaurant,58c7a9347b88a73f65a2295c,1
Pleyel Saint Denis,Cooking Cuisine Maison,48.91747,2.3521564,Fast Food Restaurant,52a84f8411d2e4f7e5c59567,1
Pleyel Saint Denis,Le Canard Huppé Foodtruck,48.921785126466816,2.343405502491671,Food Truck,5700eafc498e013a48117aff,1
Pleyel Saint Denis,Diet Coke Break,48.922402,2.343752,Food Truck,4e7c613f2c5bcd4c41ef4844,0
Pleyel Saint Denis,Le Camion du Midi,48.92070047848849,2.354384660266824,Food Truck,52a065c611d2937f0b0b0a67,0
Pleyel Saint Denis,Restaurant Oleo Pazzo - Courtyard Paris Saint Denis,48.922135,2.343218,Mediterranean Restaurant,51a3b297498e408398b91e8b,3
Pleyel Saint Denis,Brasserie Latour,48.922478114666106,2.342040538787842,Brasserie,50fc2364011c50b955d3f7e8,1
